id,date,channel,customer_type,content,keyword_hint
174,2026-07-15,이메일,OEM,최근 이용 중 탄소국경조정 처리 속도가 너무 느려 불편합니다. 수정해주세요.,탄소국경조정
175,2026-07-15,채널톡,1차 협력사,최근 모바일에서도 CBAM 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.,CBAM
176,2026/07/15,이메일,1차 협력사,카본링크 사용 중 이중중요성 감축 로드맵 수립을 지원해줄 수 있는 컨설팅 서비스가 있으면 좋겠습니다.,이중중요성
177,2026-07-16,이메일,기타,"협력사 담당자와 상의한 결과, 온보딩 과정에서 온실가스 세팅을 친절하게 안내해주셔서 정말 만족스럽습니다.",온실가스
178,2026-07-17,이메일,기타,"실무 담당자로서 말씀드리면, 담당자분이 이중중요성 관련 문의에 빠르게 답변해주셔서 정말 감사합니다.",이중중요성
179,2026-07-18,이메일,1차 협력사,카본링크 사용 중 카본링크 도입 이후 CBAM 관련 업무 시간이 절반 이상 줄었습니다. 감사합니다.,CBAM
180,2026/07/19,이메일,2차 협력사,"협력사 담당자와 상의한 결과, 대시보드에 Scope 3 추세를 비교하는 차트 기능이 필요합니다.",Scope3
181,7월 19일,채널톡,기타,카본링크 사용 중 Scope 1 분석 리포트 덕분에 어디서 줄일 수 있는지 파악했습니다. 감사합니다.,Scope1
182,2026-07-20,,기타,"Scope 1 계산 로직을 신뢰하기 어렵습니다. 상세 계산 근거를 확인할 수 있는 기능을 추가해주시길 요청드리는데, 현재는 제한적입니다.","Scope1,기능개선요청"
183,2026/07/21,채널톡,기타,TCFD 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,TCFD
184,2026-07-22,채널톡,1차 협력사,"협력사 담당자와 상의한 결과, Scope 3 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.",Scope3
185,2026-07-23,채널톡,OEM,카본링크 사용 중 온실가스와 다른 프레임워크 데이터의 중복 입력을 줄여주는 기능이 필요합니다.,온실가스
186,2026-07-24,,기타,"실무 담당자로서 말씀드리면, API 연동이 자꾸 끊깁니다. SBTi 데이터가 누락됩니다. 빨리 해결해주세요.",SBTi
187,2026/07/24,미팅메모,2차 협력사,"실무 담당자로서 말씀드리면, 탄소국경조정 인증서 구매 절차나 예상 비용을 추산하는 방법이 궁금합니다.",탄소국경조정
188,2026-07-24,채널톡,2차 협력사,"협력사 담당자와 상의한 결과, 대시보드에 LCA 추세를 비교하는 차트 기능이 필요합니다.",LCA
189,2026-07-24,이메일,1차 협력사,카본링크 사용 중 탄소내재량 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,탄소내재량
190,2026/07/25,이메일,기타,다시 문의드립니다. PCF 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,PCF
191,2026-07-26,이메일,1차 협력사,최근 모바일에서도 Scope 1 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.,Scope1
192,2026-07-26,이메일,기타,저희 팀에서 확인해보니 TCFD와 다른 프레임워크 데이터의 중복 입력을 줄여주는 기능이 필요합니다.,TCFD
193,2026/07/26,이메일,1차 협력사,외부 컨설팅사에서 산정한 녹색채권 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.,녹색채권
194,2026-07-27,이메일,기타,ESG 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,ESG
195,7월 27일,채널톡,OEM,최근 카본링크 도입 이후 녹색채권 관련 업무 시간이 절반 이상 줄었습니다. 감사합니다.,녹색채권
196,2026-07-27,이메일,기타,카본링크 사용 중 CSRD 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.,CSRD
197,2026-07-27,채널톡,기타,저희 팀에서 확인해보니 API 연동이 자꾸 끊깁니다. PCF 데이터가 누락됩니다. 빨리 해결해주세요.,PCF
198,7월 28일,이메일,2차 협력사,카본링크 도입 이후 ESG 관련 업무 시간이 절반 이상 줄었습니다. 감사합니다.,ESG
199,2026-06-06,,기타,"실무 담당자로서 말씀드리면, 글로벌 고객사에서 Scope 2 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?",Scope2
200,2026/05/24,이메일,1차 협력사,"협력사 담당자와 상의한 결과, Scope 1 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?",Scope1
